alcaldia,periodo,expuestos,siniestros,mes
1,201701,658.4741172,242,1
1,201702,601.4931368,194,2
1,201703,506.3693594,221,3
1,201704,434.1436144,129,4
1,201705,426.676012,151,5
1,201706,236.8921793,105,6
1,201707,125.8428909,29,7
1,201708,164.0000449,49,8
1,201709,188.5896891,84,9
1,201710,399.1488516,161,10
1,201711,625.9866346,218,11
1,201712,659.4823362,167,12
1,201801,835.6384529,142,1
1,201802,788.6259323,162,2
1,201803,747.8105974,133,3
1,201804,551.5120896,95,4
1,201805,602.7734525,117,5
1,201806,337.2014876,85,6
1,201807,353.3155021,54,7
1,201808,146.858186,33,8
1,201809,296.7179685,63,9
1,201810,466.3347049,127,10
1,201811,623.6350442,181,11
1,201812,754.3895449,134,12
1,201901,681.2560044,150,1
1,201902,551.3964562,168,2
1,201903,632.4957668,158,3
1,201904,553.0676988,117,4
1,201905,533.8861091,104,5
1,201906,300.2004365,48,6
1,201907,159.3197882,30,7
1,201908,333.1816923,70,8
1,201909,283.7123902,65,9
1,201910,378.8829812,89,10
1,201911,563.9957431,148,11
1,201912,718.7316675,128,12
1,202001,664.0195913,116,1
1,202002,591.0129224,139,2
1,202003,625.1571008,107,3
1,202004,469.8639984,22,4
1,202005,474.4729324,26,5
1,202006,417.4778598,28,6
1,202007,120.3097052,6,7
1,202008,176.2719787,28,8
1,202009,271.8047112,43,9
1,202010,491.8317432,62,10
1,202011,572.8204917,63,11
1,202012,602.105303,76,12
1,202101,587.0687988,47,1
1,202102,540.0898181,70,2
1,202103,602.6726948,62,3
1,202104,519.8815597,49,4
1,202105,320.6660918,39,5
1,202106,303.006197,41,6
1,202107,289.527242,29,7
1,202108,238.5138855,22,8
1,202109,416.3589489,33,9
1,202110,658.1510965,67,10
1,202111,884.430617,106,11
1,202112,895.0315765,91,12
1,202201,814.8585082,68,1
1,202202,852.8375485,74,2
1,202203,943.0864687,84,3
1,202204,674.3702372,52,4
1,202205,932.9486901,81,5
1,202206,472.273041,46,6
1,202207,351.6777371,31,7
1,202208,334.4954364,36,8
1,202209,637.6990652,50,9
1,202210,839.222723,87,10
1,202211,934.4571342,101,11
1,202212,961.782459,111,12
1,202301,1087.474394,91,1
1,202302,887.4931258,113,2
1,202303,747.5621665,86,3
1,202304,807.0689453,104,4
1,202305,373.6269528,53,5
1,202306,725.2743787,121,6
1,202307,124.2204436,34,7
1,202308,357.6855616,153,8
1,202309,377.2530586,93,9
