alcaldia,periodo,expuestos,siniestros,mes
1,201701,0,0,1
1,201702,0,0,2
1,201703,147.6910632,61,3
1,201704,157.8704052,50,4
1,201705,148.4090477,63,5
1,201706,309.7820807,114,6
1,201707,431.4613403,135,7
1,201708,344.4000942,174,8
1,201709,282.8845336,114,9
1,201710,116.4184151,47,10
1,201711,0,0,11
1,201712,0,0,12
1,201801,57.63023813,17,1
1,201802,56.33042373,6,2
1,201803,179.4745434,42,3
1,201804,367.6747264,66,4
1,201805,331.5253988,72,5
1,201806,547.9524174,78,6
1,201807,559.4162116,83,7
1,201808,763.6625675,159,8
1,201809,593.435937,120,9
1,201810,437.1887859,108,10
1,201811,218.2722655,34,11
1,201812,52.02686517,10,12
1,201901,22.70853348,9,1
1,201902,91.89940937,23,2
1,201903,67.76740359,10,3
1,201904,138.2669247,34,4
1,201905,196.6948823,30,5
1,201906,392.5698015,60,6
1,201907,546.2392737,101,7
1,201908,355.3938051,79,8
1,201909,371.0085103,79,9
1,201910,312.0212786,72,10
1,201911,112.7991486,31,11
1,201912,0,0,12
1,202001,71.14495621,13,1
1,202002,21.10760437,5,2
1,202003,43.11428281,7,3
1,202004,170.8596358,9,4
1,202005,194.1025632,8,5
1,202006,208.7389299,14,6
1,202007,501.2904384,47,7
1,202008,430.887059,47,8
1,202009,310.6339556,31,9
1,202010,118.0396184,20,10
1,202011,19.75243075,0,11
1,202012,20.07017677,3,12
1,202101,40.48750337,5,1
1,202102,20.0033266,4,2
1,202103,20.08908983,2,3
1,202104,79.98177841,5,4
1,202105,300.6244611,36,5
1,202106,346.2927965,45,6
1,202107,608.0072081,51,7
1,202108,685.7274209,56,8
1,202109,475.8387987,45,9
1,202110,269.2436304,25,10
1,202111,0,0,11
1,202112,29.83438588,3,12
1,202201,120.719779,5,1
1,202202,102.3405058,10,2
1,202203,139.7165139,17,3
1,202204,390.4248742,37,4
1,202205,179.4132096,27,5
1,202206,617.5878228,69,6
1,202207,781.5060826,67,7
1,202208,817.6555111,98,8
1,202209,487.6522263,39,9
1,202210,291.9035558,40,10
1,202211,143.762636,20,11
1,202212,142.4862902,9,12
1,202301,36.24914647,3,1
1,202302,151.9234973,0,2
1,202303,260.0216231,40,3
1,202304,161.4137891,22,4
1,202305,591.5760085,103,5
1,202306,145.0548757,32,6
1,202307,517.5851818,114,7
1,202308,238.4570411,63,8
1,202309,154.3307967,74,9
1,202310,82.98814047,47,10
1,202311,60.08805681,31,11
1,202312,85.0874967,35,12
2,201701,0,0,1
2,201702,0,0,2
2,201703,93.22282184,33,3
2,201704,93.72425072,15,4
2,201705,84.06966034,21,5
2,201706,173.8549761,49,6
2,201707,244.7618721,53,7
2,201708,217.6706624,45,8
2,201709,192.2433916,54,9
2,201710,78.44146696,17,10
2,201711,0,0,11
2,201712,0,0,12
2,201801,34.02758165,4,1
2,201802,38.800922,1,2
2,201803,106.9781948,26,3
2,201804,217.479576,34,4
2,201805,196.5515258,22,5
2,201806,323.9774779,42,6
2,201807,327.8310945,38,7
2,201808,446.5521099,78,8
2,201809,343.4102331,55,9
2,201810,253.5046983,54,10
2,201811,135.9811977,18,11
2,201812,31.36385232,5,12
2,201901,13.22253952,2,1
2,201902,56.88258173,3,2
2,201903,45.96536564,5,3
2,201904,97.63073966,9,4
2,201905,142.6724244,17,5
2,201906,287.411936,33,6
2,201907,405.9999159,33,7
2,201908,272.5628528,30,8
2,201909,365.4132242,43,9
2,201910,335.7464287,30,10
2,201911,120.8256333,9,11
2,201912,0,0,12
2,202001,77.0887501,7,1
2,202002,24.01624871,1,2
2,202003,48.33142953,4,3
2,202004,189.030973,4,4
2,202005,218.9175927,7,5
2,202006,242.3882639,8,6
2,202007,584.1782245,25,7
2,202008,510.2912324,27,8
2,202009,339.3097353,11,9
2,202010,120.7530094,7,10
2,202011,19.35215585,1,11
2,202012,18.63005262,0,12
2,202101,36.06841294,1,1
2,202102,18.13160409,2,2
2,202103,18.42156845,3,3
2,202104,73.57629596,6,4
2,202105,284.8873827,32,5
2,202106,332.5371732,36,6
2,202107,471.1369161,32,7
2,202108,537.0577439,21,8
2,202109,379.473407,25,9
2,202110,212.6163978,11,10
2,202111,0,0,11
2,202112,24.41962536,2,12
2,202201,98.19038884,2,1
2,202202,73.31066283,7,2
2,202203,97.68309634,8,3
2,202204,275.318597,23,4
2,202205,127.2413005,8,5
2,202206,435.9221541,43,6
2,202207,553.4946903,31,7
2,202208,575.1013234,47,8
2,202209,342.6160464,24,9
2,202210,211.718297,15,10
2,202211,105.6723843,8,11
2,202212,102.8298947,8,12
2,202301,33.51162942,2,1
2,202302,161.0688751,0,2
2,202303,272.7502148,13,3
2,202304,171.4676741,13,4
2,202305,663.8515798,42,5
2,202306,180.2603721,15,6
2,202307,895.4266273,52,7
2,202308,445.0105118,28,8
2,202309,313.1277748,44,9
2,202310,186.3813198,21,10
2,202311,212.1381614,15,11
2,202312,362.8340531,12,12
3,201701,0,0,1
3,201702,0,0,2
3,201703,181.4036639,62,3
3,201704,194.0874086,43,4
3,201705,183.0660597,63,5
3,201706,379.9727175,135,6
3,201707,494.0098278,157,7
3,201708,423.1848934,151,8
3,201709,365.9344442,97,9
3,201710,148.2985768,45,10
3,201711,0,0,11
3,201712,0,0,12
3,201801,51.50580021,17,1
3,201802,45.07690516,4,2
3,201803,156.9412635,62,3
3,201804,318.131685,83,4
3,201805,284.2822558,61,5
3,201806,462.99699,85,6
3,201807,460.5590943,123,7
3,201808,623.0097711,167,8
3,201809,477.4011708,139,9
3,201810,350.4313627,101,10
3,201811,176.4313482,44,11
3,201812,46.28775842,19,12
3,201901,20.52011014,5,1
3,201902,84.83443997,10,2
3,201903,64.84773866,19,3
3,201904,132.5551408,43,4
3,201905,192.3643207,32,5
3,201906,390.4366515,95,6
3,201907,541.9992385,140,7
3,201908,355.0940254,94,8
3,201909,403.8301422,111,9
3,201910,375.7630537,84,10
3,201911,136.7758725,34,11
3,201912,0,0,12
3,202001,89.96952873,12,1
3,202002,28.83854438,4,2
3,202003,59.74460028,5,3
3,202004,239.4412254,5,4
3,202005,271.2822528,15,5
3,202006,292.6951425,26,6
3,202007,696.3545602,64,7
3,202008,603.3484332,66,8
3,202009,432.1652767,60,9
3,202010,160.6839071,20,10
3,202011,26.78869002,1,11
3,202012,27.07318313,2,12
3,202101,54.18914146,4,1
3,202102,27.40567421,3,2
3,202103,28.15466825,0,3
3,202104,110.9114753,19,4
3,202105,426.6297853,41,5
3,202106,491.7496819,52,6
3,202107,689.3049743,63,7
3,202108,778.7173646,77,8
3,202109,546.830549,51,9
3,202110,307.873247,36,10
3,202111,0,0,11
3,202112,34.35201828,5,12
3,202201,139.9473579,8,1
3,202202,105.1585095,4,2
3,202203,140.6063065,22,3
3,202204,391.1823128,40,4
3,202205,179.2545674,16,5
3,202206,610.6434375,83,6
3,202207,764.6936075,85,7
3,202208,783.5501535,78,8
3,202209,456.2562677,46,9
3,202210,279.5397885,48,10
3,202211,139.861262,14,11
3,202212,140.7120065,9,12
3,202301,33.71516433,4,1
3,202302,160.4165048,0,2
3,202303,280.6293154,36,3
3,202304,180.8261262,35,4
3,202305,668.4777463,106,5
3,202306,170.0210975,31,6
3,202307,839.8212235,143,7
3,202308,411.2077636,66,8
3,202309,272.5668979,73,9
3,202310,148.9251474,73,10
3,202311,164.1662373,46,11
3,202312,271.9869279,34,12
4,201701,0,0,1
4,201702,0,0,2
4,201703,107.2611814,50,3
4,201704,114.0186925,38,4
4,201705,108.4486326,53,5
4,201706,227.942951,91,6
4,201707,333.3635717,131,7
4,201708,288.6104064,130,8
4,201709,251.4593129,98,9
4,201710,100.7820816,36,10
4,201711,0,0,11
4,201712,0,0,12
4,201801,33.37022386,13,1
4,201802,30.38612549,6,2
4,201803,101.4220288,40,3
4,201804,207.8949112,73,4
4,201805,187.7145815,52,5
4,201806,306.8154293,62,6
4,201807,310.2953415,89,7
4,201808,420.0695581,160,8
4,201809,319.4723157,114,9
4,201810,234.3540066,72,10
4,201811,118.495039,30,11
4,201812,30.08996815,9,12
4,201901,14.05559298,3,1
4,201902,55.09980249,16,2
4,201903,41.52117566,18,3
4,201904,84.9145664,35,4
4,201905,121.9305862,30,5
4,201906,250.937214,64,6
4,201907,348.2683942,86,7
4,201908,228.0569655,74,8
4,201909,245.0283482,72,9
4,201910,206.9006206,76,10
4,201911,74.81236892,19,11
4,201912,0,0,12
4,202001,48.64375785,23,1
4,202002,15.71478456,1,2
4,202003,32.41998083,2,3
4,202004,130.7682888,5,4
4,202005,149.7452393,10,5
4,202006,160.835706,17,6
4,202007,381.8074233,49,7
4,202008,335.3664008,48,8
4,202009,248.1184859,24,9
4,202010,93.62388306,11,10
4,202011,15.8419262,2,11
4,202012,16.05046741,2,12
4,202101,35.07185906,5,1
4,202102,17.8735807,4,2
4,202103,18.33707872,4,3
4,202104,73.28661445,12,4
4,202105,279.7610012,34,5
4,202106,320.0966167,52,6
4,202107,455.0180438,51,7
4,202108,522.7333036,67,8
4,202109,368.2865876,39,9
4,202110,207.62603,30,10
4,202111,0,0,11
4,202112,23.23650533,5,12
4,202201,96.09582329,9,1
4,202202,72.33815843,10,2
4,202203,96.74027814,23,3
4,202204,267.9762186,55,4
4,202205,121.3994965,17,5
4,202206,409.6831446,58,6
4,202207,507.0875021,66,7
4,202208,518.3076717,97,8
4,202209,304.8305741,54,9
4,202210,186.8401658,28,10
4,202211,93.16059784,13,11
4,202212,93.57774933,7,12
4,202301,21.2295229,1,1
4,202302,101.2820188,0,2
4,202303,170.7199667,37,3
4,202304,104.358505,27,4
4,202305,377.343611,92,5
4,202306,94.02379543,23,6
4,202307,444.6620541,78,7
4,202308,203.8575799,51,8
4,202309,132.698967,63,9
4,202310,73.95846412,55,10
4,202311,76.59429619,40,11
4,202312,116.488219,33,12
5,201701,0,0,1
5,201702,0,0,2
5,201703,42.31366442,17,3
5,201704,44.72331205,15,4
5,201705,41.57526157,16,5
5,201706,85.39593544,39,6
5,201707,121.6502254,46,7
5,201708,105.0260079,42,8
5,201709,91.11785712,31,9
5,201710,36.49342424,17,10
5,201711,0,0,11
5,201712,0,0,12
5,201801,11.20565872,8,1
5,201802,8.9636551,1,2
5,201803,34.39700268,24,3
5,201804,71.42688944,30,4
5,201805,64.71190149,25,5
5,201806,94.8381465,30,6
5,201807,95.58773693,39,7
5,201808,129.262424,51,8
5,201809,98.46215293,38,9
5,201810,71.26294147,36,10
5,201811,35.22731468,13,11
5,201812,10.01661483,2,12
5,201901,4.306143213,0,1
5,201902,18.48297399,3,2
5,201903,14.0285494,4,3
5,201904,29.48933122,11,4
5,201905,45.34363502,13,5
5,201906,92.95046123,28,6
5,201907,128.2595079,31,7
5,201908,82.8267087,24,8
5,201909,89.13438578,31,9
5,201910,75.69033965,23,10
5,201911,27.160289,6,11
5,201912,0,0,12
5,202001,16.64940712,7,1
5,202002,5.352857666,3,2
5,202003,11.08263623,3,3
5,202004,44.85627949,2,4
5,202005,51.72992785,4,5
5,202006,56.05847913,4,6
5,202007,133.1153645,27,7
5,202008,115.0455405,13,8
5,202009,83.37538741,5,9
5,202010,31.16766052,1,10
5,202011,5.24411242,0,11
5,202012,5.299249929,0,12
5,202101,10.71498248,1,1
5,202102,5.353718007,1,2
5,202103,5.420328148,1,3
5,202104,20.8854906,5,4
5,202105,73.87054248,10,5
5,202106,83.76990896,19,6
5,202107,119.4541147,22,7
5,202108,135.6929162,21,8
5,202109,94.31530187,16,9
5,202110,51.39665335,10,10
5,202111,0,0,11
5,202112,5.790191287,0,12
5,202201,23.49943071,3,1
5,202202,16.53493097,3,2
5,202203,22.20946141,5,3
5,202204,62.07720244,21,4
5,202205,28.55148684,3,5
5,202206,97.8517416,20,6
5,202207,123.7317258,17,7
5,202208,130.9753723,17,8
5,202209,77.70679969,17,9
5,202210,48.5380577,7,10
5,202211,24.02266112,4,11
5,202212,23.98833935,3,12
5,202301,5.985065416,1,1
5,202302,27.90184628,0,2
5,202303,43.0381007,12,3
5,202304,28.13380392,7,4
5,202305,134.796759,20,5
5,202306,43.60824133,6,6
5,202307,251.9929802,27,7
5,202308,141.2504415,12,8
5,202309,110.6169399,10,9
5,202310,71.3876872,12,10
5,202311,89.72908057,16,11
5,202312,172.746593,10,12
6,201701,0,0,1
6,201702,0,0,2
6,201703,181.1500193,60,3
6,201704,194.2130759,50,4
6,201705,157.3006094,51,5
6,201706,336.0552477,106,6
6,201707,469.5792477,146,7
6,201708,405.4253698,152,8
6,201709,349.8922439,101,9
6,201710,139.0436016,47,10
6,201711,0,0,11
6,201712,0,0,12
6,201801,51.07999365,13,1
6,201802,41.68585401,4,2
6,201803,155.5466542,41,3
6,201804,318.5536045,82,4
6,201805,287.768427,80,5
6,201806,474.4196976,105,6
6,201807,484.6890173,102,7
6,201808,661.6961285,159,8
6,201809,508.1920565,117,9
6,201810,374.1649101,87,10
6,201811,162.5748208,33,11
6,201812,45.95280453,18,12
6,201901,16.75060025,5,1
6,201902,65.95772813,19,2
6,201903,49.83872056,16,3
6,201904,101.7507398,30,4
6,201905,144.4073038,36,5
6,201906,294.183994,66,6
6,201907,402.8395081,116,7
6,201908,259.1590502,87,8
6,201909,273.7498237,86,9
6,201910,227.9829048,76,10
6,201911,99.36261113,21,11
6,201912,0,0,12
6,202001,67.60461077,8,1
6,202002,21.59385853,0,2
6,202003,44.24959014,2,3
6,202004,177.8397306,7,4
6,202005,204.4650934,10,5
6,202006,220.3909916,18,6
6,202007,524.8542984,56,7
6,202008,455.6732794,45,8
6,202009,330.3190811,41,9
6,202010,122.0495186,17,10
6,202011,20.1520657,1,11
6,202012,20.20239074,6,12
6,202101,40.16474598,7,1
6,202102,19.97798373,5,2
6,202103,20.13204161,3,3
6,202104,78.67912904,8,4
6,202105,291.6337381,49,5
6,202106,324.2200911,56,6
6,202107,452.8484466,88,7
6,202108,513.0109,61,8
6,202109,354.956174,66,9
6,202110,196.0735745,25,10
6,202111,0,0,11
6,202112,21.59903268,3,12
6,202201,80.1347064,13,1
6,202202,60.29207261,13,2
6,202203,80.32383577,16,3
6,202204,222.3066049,50,4
6,202205,103.1113797,25,5
6,202206,354.9120623,65,6
6,202207,448.5329303,63,7
6,202208,462.7097807,87,8
6,202209,274.8391442,57,9
6,202210,168.013471,39,10
6,202211,81.60187044,17,11
6,202212,81.69652734,9,12
6,202301,20.29598318,3,1
6,202302,97.07467564,0,2
6,202303,162.25757,39,3
6,202304,100.1132971,25,4
6,202305,370.1382197,83,5
6,202306,94.1283617,16,6
6,202307,448.2347452,102,7
6,202308,211.6734726,73,8
6,202309,140.5941547,60,9
6,202310,80.93974417,77,10
6,202311,80.20702479,51,11
6,202312,128.4474063,43,12
7,201701,0,0,1
7,201702,0,0,2
7,201703,134.5639721,34,3
7,201704,143.4243717,29,4
7,201705,137.1814713,56,5
7,201706,292.0989678,96,6
7,201707,419.1760528,134,7
7,201708,366.8755582,113,8
7,201709,321.8730497,85,9
7,201710,130.6126669,44,10
7,201711,0,0,11
7,201712,0,0,12
7,201801,42.52144112,14,1
7,201802,39.18484921,0,2
7,201803,130.6817796,36,3
7,201804,269.2154945,69,4
7,201805,243.1647047,47,5
7,201806,397.1591199,65,6
7,201807,403.9033146,72,7
7,201808,548.3852746,115,8
7,201809,418.0038759,102,9
7,201810,306.7291896,59,10
7,201811,153.0582241,28,11
7,201812,38.40441771,5,12
7,201901,18.24587226,7,1
7,201902,72.0101738,10,2
