periodo,ALVARO OBREGON,AZCAPOTZALCO,BENITO JUAREZ,COYOACAN,CUAJIMALPA DE MORELOS,CUAUHTEMOC,GUSTAVO A MADERO,IZTACALCO,IZTAPALAPA,LA MAGDALENA CONTRERAS,MIGUEL HIDALGO,MILPA ALTA,TLAHUAC,TLALPAN,VENUSTIANO CARRANZA,XOCHIMILCO
201701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,0.413024314,0.353990572,0.341779205,0.466151867,0.40176147,0.331217188,0.252667928,0.333949772,0.457015525,0.158411232,0.250999131,0.319389089,0.467057665,0.319911173,0.448256132,0.156412391
201704,0.316715473,0.160043958,0.221549663,0.333278686,0.335395554,0.257449195,0.202197156,0.276284765,0.288529258,0.064333017,0.190896526,0.306894458,0.167206113,0.354922947,0.387286867,0.415158901
201705,0.424502421,0.249792849,0.344138067,0.488710634,0.384844241,0.324219977,0.408218395,0.360180472,0.37868322,0.304181694,0.257165721,0.323729616,0.23829074,0.399627198,0.309830161,0.499624558
201706,0.368000627,0.281844104,0.355288666,0.399222698,0.456696209,0.315424326,0.328655732,0.289379991,0.300626357,0.214818833,0.260200446,0.619045949,0.221384191,0.333965368,0.455402954,0.304485492
201707,0.312890142,0.216536994,0.317807443,0.392964352,0.37813329,0.310916636,0.31967475,0.221679432,0.296738565,0.191238318,0.229591764,0.314725119,0.170509305,0.413294919,0.343541011,0.343672653
201708,0.505226343,0.206734337,0.35681803,0.450434209,0.399900947,0.37491487,0.308006346,0.317255037,0.346776498,0.237152027,0.282920788,0.224083758,0.345529077,0.392017196,0.47127995,0.318687437
201709,0.402991279,0.280893921,0.265074801,0.389725077,0.340218712,0.2886603,0.26407927,0.212365581,0.274478592,0.175738121,0.227872851,0.12844869,0.266228888,0.423048294,0.423320934,0.286867167
201710,0.403716199,0.216722107,0.303441887,0.357206355,0.465837349,0.338023465,0.336873912,0.411429519,0.345517436,0.125213273,0.271321342,0,0.179523346,0.361813625,0.290269992,0.332542414
201711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
