alcaldia,periodo,expuestos,siniestros,mes
1,201701,658.4741172,242,1
1,201702,601.4931368,194,2
1,201703,654.0604226,282,3
1,201704,592.0140196,179,4
1,201705,575.0850597,214,5
1,201706,546.67426,219,6
1,201707,557.3042312,164,7
1,201708,508.4001391,223,8
1,201709,471.4742227,198,9
1,201710,515.5672667,208,10
1,201711,625.9866346,218,11
1,201712,659.4823362,167,12
1,201801,893.268691,159,1
1,201802,844.956356,168,2
1,201803,927.2851408,175,3
1,201804,919.186816,161,4
1,201805,934.2988513,189,5
1,201806,885.153905,163,6
1,201807,912.7317137,137,7
1,201808,910.5207535,192,8
1,201809,890.1539055,183,9
1,201810,903.5234908,235,10
1,201811,841.9073097,215,11
1,201812,806.4164101,144,12
1,201901,703.9645379,159,1
1,201902,643.2958656,191,2
1,201903,700.2631704,168,3
1,201904,691.3346235,151,4
1,201905,730.5809914,134,5
1,201906,692.770238,108,6
1,201907,705.5590619,131,7
1,201908,688.5754974,149,8
1,201909,654.7209005,144,9
1,201910,690.9042598,161,10
1,201911,676.7948917,179,11
1,201912,718.7316675,128,12
1,202001,735.1645475,129,1
1,202002,612.1205268,144,2
1,202003,668.2713836,114,3
1,202004,640.7236342,31,4
1,202005,668.5754956,34,5
1,202006,626.2167897,42,6
1,202007,621.6001436,53,7
1,202008,607.1590377,75,8
1,202009,582.4386668,74,9
1,202010,609.8713616,82,10
1,202011,592.5729224,63,11
1,202012,622.1754798,79,12
1,202101,627.5563022,52,1
1,202102,560.0931447,74,2
1,202103,622.7617846,64,3
1,202104,599.8633381,54,4
1,202105,621.2905529,75,5
1,202106,649.2989935,86,6
1,202107,897.5344501,80,7
1,202108,924.2413064,78,8
1,202109,892.1977476,78,9
1,202110,927.3947269,92,10
1,202111,884.430617,106,11
1,202112,924.8659624,94,12
1,202201,935.5782872,73,1
1,202202,955.1780543,84,2
1,202203,1082.802983,101,3
1,202204,1064.795111,89,4
1,202205,1112.3619,108,5
1,202206,1089.860864,115,6
1,202207,1133.18382,98,7
1,202208,1152.150948,134,8
1,202209,1125.351292,89,9
1,202210,1131.126279,127,10
1,202211,1078.21977,121,11
1,202212,1104.268749,120,12
1,202301,1123.723541,94,1
1,202302,887.4931258,113,2
1,202303,1007.58379,126,3
1,202304,968.4827343,126,4
1,202305,965.2029613,156,5
1,202306,870.3292544,153,6
1,202307,641.8056254,148,7
1,202308,596.1426027,153,8
1,202309,531.5838553,167,9
