periodo,expuestos,siniestros,mes
201701,7897.689392,1994,1
201702,6919.646397,2046,2
201703,5641.038474,1737,3
201704,4772.055718,1295,4
201705,4588.48575,1467,5
201706,2556.894773,906,6
201707,1356.68072,386,7
201708,1912.467961,579,8
201709,2318.413312,737,9
201710,4809.758063,1474,10
201711,6328.699259,1943,11
201712,6748.880965,1755,12
201801,7043.495421,1518,1
201802,6092.947121,1552,2
201803,6172.601907,1293,3
201804,4539.890209,1000,4
201805,4946.769163,1271,5
201806,2698.988546,940,6
201807,2807.213708,596,7
201808,1162.328143,300,8
201809,2306.405808,536,9
201810,3611.331611,986,10
201811,4807.931532,1418,11
201812,6346.145541,1435,12
201901,5708.724177,1409,1
201902,4588.3161,1306,2
201903,5392.18007,1402,3
201904,4729.633247,1015,4
201905,4614.582504,1102,5
201906,2638.224986,580,6
201907,1392.408266,323,7
201908,2914.385979,788,8
201909,2596.964441,625,9
201910,3545.470609,834,10
201911,5398.210657,1329,11
201912,6923.886475,1458,12
202001,6516.726153,1199,1
202002,6193.77175,1324,2
202003,6584.926273,958,3
202004,4996.745144,311,4
202005,5076.613436,294,5
202006,4465.523963,359,6
202007,1270.585007,119,7
202008,1888.967985,243,8
202009,2923.609316,382,9
202010,5203.752806,685,10
202011,6054.172959,786,11
202012,6320.42736,788,12
202101,6175.071439,685,1
202102,5817.081136,725,2
202103,6624.879064,834,3
202104,5691.875559,734,4
202105,3534.441097,489,5
202106,3308.971526,433,6
202107,2613.913981,282,7
202108,2169.694523,267,8
202109,3807.481591,447,9
202110,5965.409738,736,10
202111,8103.612536,1142,11
202112,8150.279314,1094,12
202201,7370.383599,811,1
202202,6877.487562,911,2
202203,7453.247257,1029,3
202204,5287.754927,687,4
202205,7286.970953,1008,5
202206,3650.175211,507,6
202207,2687.601266,375,7
202208,2508.312892,368,8
202209,4719.831202,683,9
202210,6337.904996,910,10
202211,7104.675945,1073,11
202212,7332.893811,1115,12
202301,8255.802967,1063,1
202302,7531.038129,1118,2
202303,6224.783179,957,3
202304,6749.517374,1129,4
202305,3232.388168,586,5
202306,6721.32783,1241,6
202307,1555.977193,299,7
202308,4784.073945,1532,8
202309,5427.831562,991,9
202310,6550.476344,1147,10
202311,6099.475192,1410,11
202312,5422.633609,1214,12
