periodo,expuestos,siniestros,mes
201701,0,0,1
201702,0,0,2
201703,1645.302888,555,3
201704,1735.292988,440,4
201705,1595.995044,560,5
201706,3343.631626,1084,6
201707,4651.476754,1391,7
201708,4016.182719,1418,8
201709,3477.619967,1029,9
201710,1402.846102,449,10
201711,0,0,11
201712,0,0,12
201801,485.7583049,126,1
201802,435.2105086,39,2
201803,1481.424458,481,3
201804,3026.593472,734,4
201805,2720.72304,622,5
201806,4385.856387,780,6
201807,4444.755038,948,7
201808,6044.106343,1455,8
201809,4612.811616,1240,9
201810,3385.623385,920,10
201811,1682.776036,349,11
201812,437.6652097,129,12
201901,190.2908059,54,1
201902,764.71935,147,2
201903,577.7335789,140,3
201904,1182.408312,305,4
201905,1700.109344,323,5
201906,3449.98652,777,6
201907,4773.971197,1063,7
201908,3108.678378,797,8
201909,3396.030423,848,9
201910,2919.799325,795,10
201911,1079.642131,260,11
201912,0,0,12
202001,698.2206593,130,1
202002,221.2061339,33,2
202003,454.1328464,50,3
202004,1816.998234,93,4
202005,2076.796406,131,5
202006,2232.761982,203,6
202007,5294.104197,587,7
202008,4617.477296,545,8
202009,3341.267789,399,9
202010,1248.900673,169,10
202011,208.7645848,25,11
202012,210.680912,33,12
202101,425.8669958,49,1
202102,215.4474495,27,2
202103,220.8293021,28,3
202104,875.6731628,134,4
202105,3313.538528,441,5
202106,3781.681744,573,6
202107,5489.21936,652,7
202108,6237.871753,680,8
202109,4351.407533,528,9
202110,2440.394893,287,10
202111,0,0,11
202112,271.6759771,41,12
202201,1091.908681,100,1
202202,825.2985075,107,2
202203,1104.184779,175,3
202204,3061.3318,472,4
202205,1401.340568,215,5
202206,4773.306045,648,6
202207,5972.447257,735,7
202208,6131.431514,872,8
202209,3609.282684,525,9
202210,2204.488694,376,10
202211,1093.027068,162,11
202212,1086.354639,107,12
202301,275.1934323,26,1
202302,1289.183676,0,2
202303,2165.141975,368,3
202304,1349.903475,264,4
202305,5117.947933,881,5
202306,1344.265566,252,6
202307,6483.238303,1094,7
202308,3189.38263,626,8
202309,2220.476548,648,9
202310,1310.095269,590,10
202311,1463.874046,357,11
202312,2484.842107,372,12
