periodo,expuestos,siniestros,mes
201701,7897.689392,1994,1
201702,6919.646397,2046,2
201703,7286.341362,2292,3
201704,6507.348707,1735,4
201705,6184.480794,2027,5
201706,5900.526399,1990,6
201707,6008.157473,1777,7
201708,5928.65068,1997,8
201709,5796.033279,1766,9
201710,6212.604164,1923,10
201711,6328.699259,1943,11
201712,6748.880965,1755,12
201801,7529.253726,1644,1
201802,6528.157629,1591,2
201803,7654.026365,1774,3
201804,7566.483681,1734,4
201805,7667.492203,1893,5
201806,7084.844933,1720,6
201807,7251.968746,1544,7
201808,7206.434486,1755,8
201809,6919.217424,1776,9
201810,6996.954996,1906,10
201811,6490.707568,1767,11
201812,6783.81075,1564,12
201901,5899.014983,1463,1
201902,5353.03545,1453,2
201903,5969.913649,1542,3
201904,5912.041559,1320,4
201905,6314.691847,1425,5
201906,6088.211506,1357,6
201907,6166.379463,1386,7
201908,6023.064357,1585,8
201909,5992.994864,1473,9
201910,6465.269933,1629,10
201911,6477.852788,1589,11
201912,6923.886475,1458,12
202001,7214.946813,1329,1
202002,6414.977884,1357,2
202003,7039.059119,1008,3
202004,6813.743379,404,4
202005,7153.409842,425,5
202006,6698.285945,562,6
202007,6564.689204,706,7
202008,6506.445281,788,8
202009,6264.877105,781,9
202010,6452.653479,854,10
202011,6262.937544,811,11
202012,6531.108272,821,12
202101,6600.938435,734,1
202102,6032.528586,752,2
202103,6845.708366,862,3
202104,6567.548722,868,4
202105,6847.979625,930,5
202106,7090.65327,1006,6
202107,8103.133341,934,7
202108,8407.566275,947,8
202109,8158.889124,975,9
202110,8405.804631,1023,10
202111,8103.612536,1142,11
202112,8421.955292,1135,12
202201,8462.29228,911,1
202202,7702.78607,1018,2
202203,8557.432036,1204,3
202204,8349.086725,1159,4
202205,8688.311521,1223,5
202206,8423.481256,1155,6
202207,8660.048523,1110,7
202208,8639.744407,1240,8
202209,8329.113886,1208,9
202210,8542.39369,1286,10
202211,8197.703013,1235,11
202212,8419.248449,1222,12
202301,8530.9964,1089,1
202302,7531.038129,1118,2
202303,8389.925155,1325,3
202304,8099.420849,1393,4
202305,8350.336101,1467,5
202306,8065.593396,1493,6
202307,8039.215496,1393,7
202308,7973.456576,1532,8
202309,7648.30811,1639,9
202310,7860.571612,1737,10
202311,7563.349238,1767,11
202312,7907.475717,1586,12
