FECHA,PRECIP,EVAP,TMAX,TMIN,clas
01/01/2010,0,NULO,22.2,9.2,No
02/01/2010,0,NULO,21.4,8.3,No
03/01/2010,0,NULO,16.9,9.2,No
04/01/2010,0,NULO,16.5,8.1,No
05/01/2010,0,NULO,17.9,6.1,No
06/01/2010,0,NULO,19.8,8.5,No
07/01/2010,1.8,NULO,18.5,9,Si
08/01/2010,10.5,NULO,12.9,7.7,Si
09/01/2010,7.7,5.97,10.2,8,Si
10/01/2010,0.2,NULO,15.2,6.5,Si
11/01/2010,0,NULO,15.1,5,No
12/01/2010,0.1,NULO,15.1,6.6,Si
13/01/2010,0.1,0.1,17.6,7.2,Si
14/01/2010,0,0.1,19.6,8,No
15/01/2010,0.2,NULO,17.3,8.6,Si
16/01/2010,0,NULO,21.9,7.3,No
17/01/2010,0,NULO,21.9,8.5,No
18/01/2010,0,NULO,24.5,10,No
19/01/2010,0,NULO,25.7,9.3,No
20/01/2010,0,NULO,25.1,8.5,No
21/01/2010,0,NULO,25.1,8.9,No
22/01/2010,0,NULO,27,8,No
23/01/2010,0,NULO,26.5,8,No
24/01/2010,0,NULO,28,7.6,No
25/01/2010,0,NULO,25.4,8,No
26/01/2010,0,NULO,25.5,9.5,No
27/01/2010,0,NULO,24.7,9.4,No
28/01/2010,0,NULO,22.3,10.4,No
29/01/2010,0,NULO,21.2,11,No
30/01/2010,0,NULO,17.1,12.7,No
31/01/2010,0,NULO,NULO,NULO,No
01/02/2010,0,NULO,16.8,10,No
02/02/2010,2.7,2.85,18,9.9,Si
03/02/2010,5.9,NULO,16,11.6,Si
04/02/2010,17.1,NULO,16.4,10.5,Si
05/02/2010,0,NULO,23.7,7,No
06/02/2010,0,NULO,24.8,5,No
07/02/2010,0.2,5.05,22,7.4,Si
08/02/2010,0.1,3.24,23.5,9.3,Si
09/02/2010,0,NULO,25.4,9,No
10/02/2010,0,5.82,24.7,9.1,No
11/02/2010,0,NULO,24.6,11,No
12/02/2010,0,NULO,24.1,11.7,No
13/02/2010,0,NULO,22.4,9.5,No
14/02/2010,0,NULO,23.8,10.4,No
15/02/2010,0.1,NULO,21.8,10.1,Si
16/02/2010,0,4.8,19.6,6.5,No
17/02/2010,9.9,NULO,12,11.3,Si
18/02/2010,2.3,9.41,11.6,7.6,Si
19/02/2010,0,NULO,21.8,6.6,No
20/02/2010,0,NULO,22.5,7.2,No
21/02/2010,0,NULO,23.8,10.4,No
22/02/2010,0,7.01,25.1,9,No
23/02/2010,0,5.39,25.2,13.7,No
24/02/2010,0,NULO,19.9,11,No
25/02/2010,0,6.43,24.7,6.3,No
26/02/2010,0,3.47,25.2,8,No
27/02/2010,0,NULO,24.2,6.4,No
28/02/2010,0,NULO,23.9,8.5,No
01/03/2010,0,NULO,26.6,9.9,No
02/03/2010,0,NULO,26.4,9,No
03/03/2010,0,NULO,27.1,10,No
04/03/2010,0,NULO,28,10.7,No
05/03/2010,0,NULO,27,11.8,No
06/03/2010,0,2.78,26.3,12.6,No
07/03/2010,0,NULO,27.4,11,No
08/03/2010,0,NULO,23,14.5,No
09/03/2010,0,NULO,26.7,15.4,No
10/03/2010,0,NULO,27,14.5,No
11/03/2010,0,NULO,27.8,12.7,No
12/03/2010,0,NULO,28.3,11.7,No
13/03/2010,0,NULO,28.6,10.9,No
14/03/2010,0,4,29.5,12,No
15/03/2010,0,NULO,26.1,12.8,No
16/03/2010,0,6.44,25.3,14.6,No
17/03/2010,0.3,NULO,23.3,10,Si
18/03/2010,0,NULO,24.5,9,No
19/03/2010,0,NULO,24.6,12.4,No
20/03/2010,0,3.87,26.2,11.5,No
21/03/2010,0,4.76,25.5,9.5,No
22/03/2010,0,NULO,26.7,9,No
23/03/2010,0,NULO,27.7,11.5,No
24/03/2010,0,NULO,26.4,12,No
25/03/2010,0,NULO,28.6,12,No
26/03/2010,0,NULO,28.4,11.2,No
27/03/2010,0,NULO,29.6,12,No
28/03/2010,0,NULO,28.7,13.8,No
29/03/2010,1.3,NULO,31.6,9.7,Si
30/03/2010,0,NULO,25.5,10.5,No
31/03/2010,0,NULO,25.4,11.5,No
01/04/2010,0,NULO,27,12,No
02/04/2010,0,3.98,27,13,No
03/04/2010,0,9.02,26.4,12.2,No
04/04/2010,0,3,26.1,13.9,No
05/04/2010,0,8.2,28.9,13.8,No
06/04/2010,0.2,4.95,28.4,14.8,Si
07/04/2010,0,8.24,28.5,13.7,No
08/04/2010,1.4,3.01,24.7,13.3,Si
09/04/2010,1.9,6.2,25.4,11.5,Si
10/04/2010,0,6.5,28.2,12.6,No
11/04/2010,0.8,4.68,27.3,12.8,Si
12/04/2010,0,5.4,24.1,14.5,No
13/04/2010,0.5,NULO,24.6,12,Si
14/04/2010,0,NULO,24.9,11,No
15/04/2010,0.3,NULO,25.2,11.2,Si
16/04/2010,2.3,5.98,23.6,10.4,Si
17/04/2010,4.9,2.62,22,8.8,Si
18/04/2010,0,7.48,24,9.2,No
19/04/2010,0,7.58,27.8,10.7,No
20/04/2010,0,8.3,29.2,12.7,No
